Molecule,Total |Q2| (ring atoms),Total Qzz (ring atoms),|Q2| origin,Qzz origin,|Q2|(-1),Q2(-1)zz,|Q2|(1),Q2(1)zz
C6H6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cch,1.107387001085914,0.9224091025939595,1.537901608835667,1.4706391518441895,1.1167023868941017,1.081712222189601,1.1167023868941017,1.081712222189601
cho,1.091006583193273,0.8868678659276733,1.7151000577216966,0.4795734029747422,1.0966755722576162,1.0652691739330418,1.0966755722576162,1.0652691739330418
cn,1.0725616858322926,0.8952677572129931,1.9129801889437645,0.22515936932821676,1.0895295694978615,1.058385445719934,1.0895295694978615,1.058385445719934
coch3,1.2533295222063854,0.914243410486761,1.7470282764711424,0.6445563981010262,1.3326913478758697,1.3011733850053335,1.3325621678752826,1.3010324613683293
cocl,1.3025581975369378,1.0225167658749457,0.8961645746958952,0.5676418709640988,1.4985173659023516,1.3971306381687756,1.4985173659023516,1.3971306381687756
conh2,1.255615555568888,0.8904817879254159,2.2873267921919647,0.9616473742974576,1.2780873530822152,1.2472642220330192,1.2841372831097149,1.2501042247732008
cooch3,1.3647252774566125,1.1216781698503913,2.034747745444551,1.1241231289878948,1.2636309366528677,1.160490492547684,1.2636309366528677,1.160490492547684
cooh,1.2273393648559814,0.9074547885189308,1.6723235122912066,0.9393346105770819,1.2474677783975807,1.2226750046485226,1.2474677783975807,1.2226750046485226
f,1.0263479861736657,0.9798091920680342,1.1281224760996862,0.7908998579821687,1.026511259211415,1.0008866445494848,1.026511259211415,1.0008866445494848
h,1.0259830864814412,1.034847576025364,1.1405511112036886,1.1405511112036886,1.069766986680759,1.069766986680759,1.069766986680759,1.069766986680759
nh2,1.060873753705778,1.0363410886292752,1.639136547207544,1.4825488286987005,1.036900462895002,1.0101034418641066,1.0545080884295823,1.0281162228550738
nn+,0.9794805525391274,0.7726569962470304,2.730830399920065,2.4778090425667814,1.084669661293953,1.0589236957223802,1.084669661293953,1.0589236957223802
no,0.7796985067181826,0.5369004330187722,1.0926106952266743,0.41703266865776956,1.0584148048109765,1.0286074983118523,1.0584148048109765,1.0286074983118523
no2,1.1838860895866241,0.8825597575893939,0.9614304500746379,0.22848011628310025,1.212025483691025,1.1789691044498596,1.212025483691025,1.1789691044498596
och3,1.1770974125762046,0.9785709066268118,1.4726874828214078,1.2050409088490275,1.176964857168022,1.1076460859438457,1.176964857168022,1.1076460859438457
oh,1.0473968917317114,1.0074092103623806,1.552757907522584,1.1460474470069422,1.0363935292563342,1.0063689654834953,1.0363935292563342,1.0063689654834953
